nameJp,nameJpS,countryCode,countryCodeThreeLetter,regionCode,capitalJp,secondCapitalJp,isIsland,lat,lon,landLocked,nameJpB,nameJpBAbbr,population,borders.0,borders.1,borders.2,borders.3,borders.4,borders.5,borders.6,borders.7,borders.8,borders.9,borders.10,borders.11,borders.12,borders.13,borders.14,regionalBlocks.0,regionalBlocks.1,regionalBlocks.2,area
アルジェリア民主人民共和国,アルジェリア,DZ,DZA,Africa,アルジェ,オラン,false,36.752887,3.042048,,阿爾及,,40400000,TUN,LY,NE,EH,MR,ML,MA,,,,,,,,,UN,AU,AL,2381741
エクアドル共和国,エクアドル,EC,ECU,SouthAmerica,キト,,false,-0.2166667,-78.5166667,,厄瓜多,,16545799,COL,PE,,,,,,,,,,,,,,UN,USAN,,256369
エジプト・アラブ共和国,エジプト,EG,EGY,Africa,カイロ,アレクサンドリア,false,30.0444196,31.2357116,,埃及,埃,91290000,ISR,LY,SD,,,,,,,,,,,,,UN,AU,AL,1001450
エリトリア国,エリトリア,ER,ERI,Africa,アスマラ,アッサブ,false,15.33236,38.92617,,厄利垂亜,,5352000,DJI,ET,SD,,,,,,,,,,,,,UN,AU,,117600
サハラ・アラブ民主共和国,サハラ・アラブ民主共和国,EH,ESH,Africa,ティンドゥフ,,false,27.675278,-8.128611,,,,510713,DZA,MR,MA,,,,,,,,,,,,,,AU,,82500
スペイン,スペイン,ES,ESP,Europe,マドリード,バルセロナ,false,40.4167754,-3.7037902,,西班牙,西,46438422,AND,FR,,PT,MA,,,,,,,,,,,UN,EU,,505992
エストニア共和国,エストニア,EE,EST,Europe,タリン,タルトゥ,false,59.4369608,24.7535746,,愛沙尼亜,,1315944,LVA,RU,,,,,,,,,,,,,,UN,EU,,45227
エチオピア連邦民主共和国,エチオピア,ET,ETH,Africa,アディスアベバ,ディレ・ダワ,false,9.022736,38.746799,Single,越智阿皮亜,,92206005,DJI,ER,KE,SO,SS,SD,,,,,,,,,,UN,AU,,1104300
フィンランド共和国,フィンランド,FI,FIN,Europe,ヘルシンキ,タンペレ,false,60.169845,24.9385508,,芬蘭,芬,5491817,NOR,SE,RU,,,,,,,,,,,,,UN,EU,,338431
フィジー共和国,フィジー,FJ,FJI,Oceania,スバ,ラウトカ,true,-18.1416,178.4419,,非支,,867000,,,,,,,,,,,,,,,,UN,,,18272
